ResumeID,BestJobID,Score,MatchedSkills
101,43,90.00,4
102,55,90.00,3
103,40,90.00,5
104,232,90.00,2
105,38,90.00,6
106,56,72.50,3
107,381,72.50,3
108,94,66.67,2
109,137,90.00,5
110,35,90.00,2
111,56,72.50,3
112,160,72.50,3
113,39,90.00,3
114,10,90.00,4
115,21,90.00,2
116,1939,90.00,3
117,56,90.00,4
118,43,90.00,4
119,39,90.00,3
120,50,90.00,4
121,21,90.00,2
122,16,90.00,4
123,8,90.00,4
124,17,90.00,6
125,137,90.00,5
126,14,90.00,3
127,13,90.00,3
128,13,90.00,3
129,8,90.00,4
130,1160,90.00,3
131,8,90.00,4
132,49,66.67,2
133,49,90.00,3
134,51,72.50,3
135,14,90.00,3
136,1565,90.00,3
137,119,90.00,3
138,51,90.00,4
139,74,90.00,4
140,192,90.00,3
141,82,90.00,3
142,159,90.00,3
143,25,90.00,3
144,55,90.00,3
145,3,90.00,5
146,56,90.00,4
147,21,55.00,1
148,35,90.00,2
149,69,90.00,4
150,16,90.00,4
151,5,90.00,8
152,39,66.67,2
153,13,90.00,3
154,27,90.00,4
155,230,90.00,3
156,46,90.00,5
157,880,90.00,3
158,2,90.00,7
159,439,90.00,4
160,14,90.00,3
161,12,90.00,4
162,911,90.00,5
163,55,90.00,3
164,76,90.00,4
165,14,90.00,3
166,17,90.00,6
167,509,90.00,3
168,59,90.00,5
169,69,90.00,4
170,40,90.00,5
171,469,66.67,2
172,8,90.00,4
173,21,90.00,2
174,147,90.00,3
175,25,66.67,2
176,35,90.00,2
177,12,90.00,4
178,8,90.00,4
179,12,90.00,4
180,190,90.00,4
181,104,90.00,2
182,27,90.00,4
183,94,90.00,3
184,82,66.67,2
185,40,90.00,5
186,661,90.00,3
187,69,90.00,4
188,168,90.00,4
189,1173,90.00,2
190,425,90.00,4
191,45,90.00,6
192,381,90.00,4
193,1118,90.00,3
194,8,90.00,4
195,402,90.00,4
196,36,90.00,5
197,469,90.00,3
198,16,90.00,4
199,119,43.33,1
200,230,90.00,3
201,10,90.00,4
202,62,66.67,2
203,40,90.00,5
204,65,90.00,3
205,4,90.00,6
206,290,55.00,1
207,192,90.00,3
208,14,90.00,3
209,1,90.00,7
210,120,66.67,2
211,21,55.00,1
212,385,90.00,2
213,205,90.00,8
214,108,55.00,1
215,119,90.00,3
216,150,90.00,2
217,381,72.50,3
218,39,66.67,2
219,50,90.00,4
220,40,90.00,5
221,35,90.00,2
222,13,90.00,3
223,12,90.00,4
224,13,66.67,2
225,38,90.00,6
226,1,90.00,7
227,143,90.00,3
228,585,90.00,4
229,21,90.00,2
230,232,90.00,2
231,21,90.00,2
232,49,66.67,2
233,150,90.00,2
234,25,90.00,3
235,8,90.00,4
236,39,90.00,3
237,1258,90.00,3
238,127,90.00,4
239,1,90.00,7
240,51,72.50,3
241,8,90.00,4
242,8,90.00,4
243,119,90.00,3
244,136,90.00,3
245,150,90.00,2
246,56,72.50,3
247,82,90.00,3
248,503,90.00,3
249,143,90.00,3
250,21,90.00,2
251,9,90.00,6
252,181,66.67,2
253,1,90.00,7
254,333,90.00,5
255,160,72.50,3
256,442,66.67,2
257,230,90.00,3
258,1637,90.00,2
259,96,90.00,4
260,1,90.00,7
261,96,90.00,4
262,21,90.00,2
263,55,43.33,1
264,38,90.00,6
265,13,43.33,1
266,149,90.00,4
267,8,90.00,4
268,1243,90.00,3
269,50,90.00,4
270,14,90.00,3
271,27,90.00,4
272,108,55.00,1
273,62,90.00,3
274,585,90.00,4
275,27,90.00,4
276,207,90.00,3
277,160,90.00,4
278,10,90.00,4
279,83,66.67,2
280,96,90.00,4
281,1077,90.00,3
282,40,90.00,5
283,545,90.00,3
284,40,90.00,5
285,149,90.00,4
286,25,66.67,2
287,8,90.00,4
288,25,90.00,3
289,8,90.00,4
290,1380,90.00,4
291,923,90.00,3
292,381,90.00,4
293,56,90.00,4
294,39,90.00,3
295,12,90.00,4
296,143,90.00,3
297,381,90.00,4
298,9,90.00,6
299,25,90.00,3
300,1258,90.00,3
301,17,90.00,6
302,8,90.00,4
303,94,66.67,2
304,1,90.00,7
305,614,90.00,5
306,12,90.00,4
307,3027,90.00,2
308,13,66.67,2
309,50,90.00,4
310,35,55.00,1
311,137,90.00,5
312,181,90.00,3
313,83,90.00,3
314,672,90.00,2
315,21,90.00,2
316,8,90.00,4
317,71,90.00,3
318,1077,90.00,3
319,1744,90.00,4
320,119,90.00,3
321,13,43.33,1
322,55,90.00,3
323,12,90.00,4
324,71,90.00,3
325,13,90.00,3
326,85,90.00,4
327,156,90.00,4
328,35,90.00,2
329,275,90.00,4
330,3384,90.00,3
331,345,90.00,3
332,150,90.00,2
333,14,90.00,3
334,25,43.33,1
335,159,66.67,2
336,1173,90.00,2
337,503,90.00,3
338,133,90.00,4
339,21,90.00,2
340,2628,90.00,3
341,35,90.00,2
342,8,90.00,4
343,21,90.00,2
344,147,90.00,3
345,192,90.00,3
346,39,90.00,3
347,104,55.00,1
348,3,90.00,5
349,39,90.00,3
350,25,90.00,3
351,147,90.00,3
352,49,90.00,3
353,12,90.00,4
354,173,90.00,5
355,43,90.00,4
356,13,90.00,3
357,35,55.00,1
358,25,90.00,3
359,25,90.00,3
360,149,90.00,4
361,3384,90.00,3
362,16,90.00,4
363,57,66.67,2
364,1,90.00,7
365,2628,90.00,3
366,25,43.33,1
367,78,90.00,3
368,136,90.00,3
369,13,66.67,2
370,36,90.00,5
371,35,90.00,2
372,38,90.00,6
373,14,90.00,3
374,21,90.00,2
375,803,90.00,4
376,10,90.00,4
377,25,43.33,1
378,1243,90.00,3
379,232,90.00,2
380,78,90.00,3
381,43,72.50,3
382,112,90.00,3
383,3,90.00,5
384,719,72.50,3
385,13,90.00,3
386,56,90.00,4
387,16,90.00,4
388,119,66.67,2
389,290,90.00,2
390,112,90.00,3
391,14,90.00,3
392,8,90.00,4
393,50,90.00,4
394,13,66.67,2
395,12,90.00,4
396,585,90.00,4
397,21,90.00,2
398,10,90.00,4
399,43,90.00,4
400,120,90.00,3
401,120,90.00,3
402,275,90.00,4
403,805,90.00,3
404,8,90.00,4
405,1449,90.00,4
406,1942,90.00,2
407,59,90.00,5
408,25,90.00,3
409,150,90.00,2
410,198,90.00,4
411,843,90.00,4
412,104,90.00,2
413,39,90.00,3
414,51,90.00,4
415,49,90.00,3
416,49,43.33,1
417,39,66.67,2
418,108,90.00,2
419,672,90.00,2
420,39,90.00,3
421,55,90.00,3
422,62,66.67,2
423,49,90.00,3
424,56,90.00,4
425,278,90.00,4
426,8,90.00,4
427,159,90.00,3
428,413,90.00,3
429,192,90.00,3
430,21,90.00,2
431,39,66.67,2
432,43,90.00,4
433,911,90.00,5
434,119,66.67,2
435,211,90.00,3
436,94,66.67,2
437,9,90.00,6
438,35,90.00,2
439,16,90.00,4
440,16,90.00,4
441,69,90.00,4
442,85,72.50,3
443,14,90.00,3
444,14,90.00,3
445,35,55.00,1
446,96,90.00,4
447,108,90.00,2
448,94,90.00,3
449,61,90.00,5
450,119,90.00,3
451,25,66.67,2
452,14,90.00,3
453,12,90.00,4
454,62,90.00,3
455,159,90.00,3
456,85,55.00,2
457,38,90.00,6
458,51,90.00,4
459,160,90.00,4
460,56,90.00,4
461,614,90.00,5
462,21,90.00,2
463,17,90.00,6
464,13,66.67,2
465,9,90.00,6
466,50,90.00,4
467,56,90.00,4
468,211,66.67,2
469,8,90.00,4
470,314,90.00,6
471,94,90.00,3
472,1,90.00,7
473,385,90.00,2
474,55,90.00,3
475,168,90.00,4
476,43,90.00,4
477,85,90.00,4
478,192,90.00,3
479,156,90.00,4
480,10,90.00,4
481,59,90.00,5
482,56,72.50,3
483,55,90.00,3
484,1189,90.00,2
485,76,90.00,4
486,136,90.00,3
487,49,90.00,3
488,16,90.00,4
489,57,66.67,2
490,27,90.00,4
491,5672,90.00,3
492,49,66.67,2
493,450,90.00,3
494,21,90.00,2
495,439,90.00,4
496,74,90.00,4
497,198,72.50,3
498,16,90.00,4
499,57,90.00,3
500,51,90.00,4
501,56,90.00,4
502,211,90.00,3
503,14,90.00,3
504,21,90.00,2
505,38,90.00,6
506,14,90.00,3
507,35,90.00,2
508,1893,72.50,3
509,25,90.00,3
510,35,90.00,2
511,55,90.00,3
512,119,90.00,3
513,36,90.00,5
514,211,66.67,2
515,8,90.00,4
516,453,90.00,3
517,40,90.00,5
518,43,90.00,4
519,35,90.00,2
520,156,90.00,4
521,8,90.00,4
522,50,90.00,4
523,51,72.50,3
524,2,90.00,7
525,25,90.00,3
526,119,90.00,3
527,119,90.00,3
528,12,90.00,4
529,62,90.00,3
530,348,72.50,3
531,14,90.00,3
532,195,90.00,3
533,82,90.00,3
534,74,90.00,4
535,46,90.00,5
536,43,90.00,4
537,43,90.00,4
538,49,90.00,3
539,71,66.67,2
540,275,72.50,3
541,147,90.00,3
542,127,90.00,4
543,78,90.00,3
544,16,90.00,4
545,3,90.00,5
546,1637,90.00,2
547,195,90.00,3
548,55,43.33,1
549,1347,90.00,4
550,46,90.00,5
